id_content,Nombre de archivo,file size,parent,product,client,version,duration,date,agency,format
,,,,,,,,,,
KKvRT,Mitsubishi Motors_Generico TV_10.mov,175.78 MB,mVxdy,MITSUBISHI,MITSUBISHI MOTORS,GENERICO,10 SEG,2023-10-04,ALVARADO MOLINA,1
qTwHq,Mitsubishi Motors_O Interes_Mitsubishi TV_10_Generico.mov,180.35 MB,mVxdy,0 INTERESES,MITSUBISHI MOTORS,MITSUBISHI TV,10 SEG,2023-09-13,ALVARADO MOLINA,2
rNefS,Mitsubishi Motors_Mitsubishi_30.mov,757.55 MB,mVxdy,MITSUBISHI,MITSUBISHI MOTORS,MITSUBISHI,30 SEG,2023-04-26,ALVARADO MOLINA,1
nWTri,Mitsubishi_Cierre Spark Arrow_03.mov,35.13 MB,ivhlk,MITSUBISHI,MITSUBISHI,CIERRE SPARK ARROW,03 SEG,2021-09-14,ALVARADO MOLINA,1
XFByU,Mitsubishi Motors_Xpander Cross_Runnings_20.mov,515.56 MB,ivhlk,XPANDER CROSS,MITSUBISHI MOTORS,RUNNINGS,20 SEG,2021-06-28,ALVARADO MOLINA,1
FhFXx,Mondelez Mexico_Tag Aval_Mango_10.mov,108.59 MB,hscYAa,TANG AVAL,MONDELEZ MEXICO,MANGO,10 SEG,2014-10-20,ALVARADO MOLINA,1
BHMLU,Bimbo_Sara Lee Natures Selec_Honey Nut Esp_20_SD.mov,167.27 MB,hscYAa,SARA LEE NATURES SELEC,BIMBO,HONEY NUT ESP,20 SEG,2014-11-28,ALVARADO MOLINA,1
JlsEa,Mondelez Mexico_Tang Aval_Naranja_10_HD.mov,315.21 MB,hscYAa,TANG AVAL,MONDELEZ MEXCICO,NARANJA,10 SEG,2014-10-20,ALVARADO MOLINA,1
BgBBi,Mondelez Mexico_Tang Aval_Mango_10_HD.mov,319.45 MB,hscYAa,TANG AVAL,MONDELEZ MEXCICO,MANGO,10 SEG,2014-10-20,ALVARADO MOLINA,1